"zoo_label","config","call"
"Length-scaled betweenness","length_scaled_betweenness","centrality(x, measures = ""length_scaled_betweenness"")"
"Exogenous centrality","exogenous","centrality(x, measures = ""exogenous"")"
"Support","support","centrality(x, measures = ""support"")"
"delta-closeness","delta_closeness","centrality(x, measures = ""delta_closeness"")"
"Godfather index","godfather","centrality(x, measures = ""godfather"")"
"Egocentric betweenness","ego_betweenness","centrality(x, measures = ""ego_betweenness"")"
"delta-betweenness","delta_betweenness","centrality(x, measures = ""delta_betweenness"")"
"ControlRank","controlrank","centrality(x, measures = ""controlrank"")"
"Dynamical importance","dynamical_importance","centrality(x, measures = ""dynamical_importance"")"
"Proximal betwenness","proximal_betweenness","centrality(x, measures = ""proximal_betweenness"")"
"Dynamics-sensitive (DS) centrality","dynamics_sensitive","centrality(x, measures = ""dynamics_sensitive"", ds_beta = 0.1, ds_mu = 1, ds_steps = 5)"
"Mixed Degree Decomposition (MDD)","mdd","centrality(x, measures = ""mdd"")"
"Expected force (ExFm)","modified_expected_force","centrality(x, measures = ""modified_expected_force"")"
"Gravity model","candidate_14","centrality(x, measures = ""gravity"", gravity_mass = ""degree"", gravity_radius = NULL)"
"Extended LBC","extended_local_bridging","centrality(x, measures = ""extended_local_bridging"")"
"Clustering degree algorithm (CDA)","cda","centrality(x, measures = ""cda"")"
"Diffusion centrality","diffusion_centrality","centrality(x, measures = ""diffusion_centrality"", diffusion_q = 1, diffusion_steps = 3)"
"k-betweenness","candidate_18","centrality(x, measures = ""betweenness"", cutoff = k)"
"SpectralRank","spectralrank","centrality(x, measures = ""spectralrank"")"
"Bridging capital","bridging_capital","centrality(x, measures = ""bridging_capital"")"
"Local gravity model","candidate_21","centrality(x, measures = ""gravity"", gravity_mass = ""degree"", gravity_radius = ""auto"")"
"Graph regularization centrality (GRC)","graph_regularization","centrality(x, measures = ""graph_regularization"")"
"Node and Neighbor Layer Information (NINL) centrality","ninl","centrality(x, measures = ""ninl"")"
"LineRank","linerank","centrality(x, measures = ""linerank"")"
"Improved global structure model (IGSM)","improved_global_structure","centrality(x, measures = ""improved_global_structure"")"
"Extended neighborhood coreness","extended_coreness","centrality(x, measures = ""extended_coreness"")"
"LocalRank","semilocal","centrality(x, measures = ""semilocal"")"
"Multi-characteristics gravity model (MCGM)","mcgm","centrality(x, measures = ""mcgm"")"
"Weighted LeaderRank","weighted_leaderrank","centrality(x, measures = ""weighted_leaderrank"")"
"Adaptive LeaderRank","adaptive_leaderrank","centrality(x, measures = ""adaptive_leaderrank"")"
"Mixed gravitational centrality","mixed_gravity","centrality(x, measures = ""mixed_gravity"")"
"Extended gravity centrality","extended_gravity","centrality(x, measures = ""extended_gravity"")"
"BG-index","beta_measure","centrality(x, measures = ""beta_measure"")"
"Bridging coefficient","bridging_coefficient","centrality(x, measures = ""bridging_coefficient"")"
"beta-measure","beta_measure","centrality(x, measures = ""beta_measure"")"
"Coleman-Theil disorder index","coleman_theil","centrality(x, measures = ""coleman_theil"")"
"Extended mixed gravitational centrality","extended_mixed_gravity","centrality(x, measures = ""extended_mixed_gravity"")"
"Map Equation Centrality (MEC)","map_equation","centrality(x, measures = ""map_equation"")"
"Resistance curvature","resistance_curvature","centrality(x, measures = ""resistance_curvature"")"
"Volume centrality","volume","centrality(x, measures = ""volume"")"
"Global Structure Model (GSM)","global_structure","centrality(x, measures = ""global_structure"")"
"Random walk decay","random_walk_decay","centrality(x, measures = ""random_walk_decay"")"
"MCC","mcc","centrality(x, measures = ""mcc"")"
"X-degree centrality","x_degree","centrality(x, measures = ""x_degree"")"
"Hybrid Global Structure Model (H-GSM)","hybrid_global_structure","centrality(x, measures = ""hybrid_global_structure"")"
"Malatya centrality","malatya","centrality(x, measures = ""malatya"")"
"k-truss number","truss","centrality(x, measures = ""truss"")"
"Improved closeness centrality (ICC)","improved_closeness","centrality(x, measures = ""improved_closeness"")"
