zoo_label,tau,nearest_zoo,nearest_cograph,status,cograph_measure,call,definition_source,verification,verified_scope,note
Immediate Effects Centrality (IEC),0.998,Markov,markov,implemented,iec,"centrality(x, measures = ""iec"")","Friedkin1991 DOI10.1086/229694 American Journal of Sociology96(6):1478-1504, 'Theoretical Foundations for Centrality Measures'; eq(9) journal p1485, eq(11) p1486, eq(20) p1489, the construction of W stated twice on p1494 (body text and the note to Table1), the regularity classification pp1483-1484 with footnote9 p1483 and footnote10 p1484, and Table1 pp1492-1494. THE ORIGINAL FULL TEXT WAS READ, clearing the candidate_review32 block that had stood since the correlation audit: the paper is open access at the author's UC eScholarship deposit escholarship.org/uc/item/2jh298gp, retained as candidate_review47/iec_friedkin1991_ajs_escholarship.pdf with SHA256 25913685fa28569842dc5ccf564665b45f796c4ad65a7bf2346973f0e5472cf9, RECOMPUTED AND MATCHED THIS SESSION. THE DEPOSIT IS A 600dpi CCITT G4 SCAN WITH NO TEXT LAYER - pdftotext yields only the eScholarship cover sheet - so there is no text dump to fall back on and every equation below was READ VISUALLY from rendered page images: pp1484, 1485, 1486, 1489, 1492, 1493 and 1494 were each inspected in full by the implementing session (candidate_review47/png/friedkin-8-08.png, -9-09, -10-10, -13-13, -16-16, -17-17, -18-18; journal page = image index + 1476). Definition: a_ii=1 for every i, W=A/rowSums(A), c=the left eigenvector of W at eigenvalue1 normalised to sum1, Z=(I-W+1c')^-1 with W^inf=1c' being the limiting total-effects matrix V_U of p1484, M=(I-Z+E Zdg)diag(1/c) with Zdg=Z off-diagonals zeroed, and c_IEC(j)=(n-1)/sum_{i!=j} m_ij. M is the Kemeny-Snell mean first passage matrix (the source cites Kemeny and Snell1960 p79), so eq(20) sums DOWN column j. THE PAPER PRINTS A COMPLETE NUMERICAL FIXTURE, WHICH IS RARE IN THIS COHORT: Table1 pp1492-1494 gives TEC, IEC and MEC to three decimals for every node of all 21 connected non-isomorphic five-node graphs, described on p1494 as 'all the connected networks from the population of nonisomorphic symmetric networks with five points'. No author or third-party code exists (the paper predates the practice; the Zoo lists implementations as TBA), so no author-software parity is claimed, and the MEC and TEC sibling measures were not implemented","batch49/published_audit.R: ALL 105 PRINTED IEC VALUES REPRODUCED, IN THE PAPER'S OWN NODE ORDER, WITH NO NUMERICAL TOLERANCE IN THE PRIMARY CLAIM. The paper labels each network's points 'counterclockwise with first points at 12:00' over a small line drawing, which is not readable at 130dpi, so the labelling is RECOVERED rather than read: all 728 labelled connected five-node graphs are enumerated from every subset of the ten possible edges, reduced to exactly 21 isomorphism classes, and a printed row counts as reproduced only when some relabelling of some class reproduces BOTH its TEC column AND its IEC column node by node. All 21 rows matched exactly one class each and the 21 matches are a BIJECTION onto the 21 classes - no row was ambiguous and none was unmatched. The recovered edge lists are written to source_graph_edges.csv and are a RESULT of the audit, not an input. THE PAPER'S ROUNDING IS HANDLED EXPLICITLY RATHER THAN BY LOOSENING A TOLERANCE: both sides are exact multiples of0.001 and each value must match under one of exactly two stated printing rules, round-half-away-from-zero at3dp or truncation at3dp. IEC: 103 of105 values match under rounding and2 under truncation, 0 under neither; the two are network16 nodes2 and5, where the exact value is 0.1875, an exact halfway case the paper prints as .187. Largest |computed-printed| is 5e-04 overall and 0.00049019608 among the rounding-rule values. TEC IS AUDITED AS A SECOND READING OF THE SAME TABLE AND ALSO REPRODUCES 105 of105: 102 under rounding and3 under truncation, the three being 0.2105263 printed as .210 at network17 nodes1-3, largest |computed-printed| 0.00052631579. On the same 21 graphs the public wrapper agrees with the kernel to 0 and the exact Fraction reference to 1.9428903e-16. Three closed forms derived by hand and independently of every reference route also land on printed cells: K5 against 1/n to 0 (printed .200, network21), C5 against 4/(q(q+1)) to 2.7755576e-17 (printed .133, network8) and the star against 1/2 and m/((3m-2)(m+1)) to 4.1633363e-17 (printed .500 and .080, network1). batch49/run_equivalence.R: 65,499 comparisons carrying 245,582 values, ZERO failures; the 35,829 numerical rows carry 215,912 values at a maximum scaled error of 8.136369e-15 against tolerance1e-11, and the 29,670 invariant rows record a largest residual of 1.705303e-13. Of the 5,532 retained fixtures, 2,511 lie inside the source's domain (irreducible, n>=2) and 3,021 are outside it; ALL 5,532 HAVE THEIR CLASSIFICATION CHECKED AGAINST NETWORKX is_strongly_connected, and every one of the 3,021 is separately checked to be NA rather than a number, with the 6,043 cograph_undefined_measure warnings observed and counted rather than suppressed. FOUR REFERENCES that fail differently from production and from each other: (a) 'closed_form', eq(11) in float64 NumPy with the stationary vector from an EIGENDECOMPOSITION, scipy.linalg.eig on W', and Z from an explicit numpy.linalg.inv, where production solves one nonsingular linear system for c and uses solve against an identity for Z (2,511 comparisons); (b) 'first_step', float64 NumPy that NEVER FORMS c, Z, W^inf OR EQUATION (11) AT ALL, taking the mean first passage times from Kemeny and Snell's first-step characterisation m_ij=1+sum_{k!=j} w_ik m_kj as one (n-1)x(n-1) system per target - a structurally different definition of the same matrix, sharing only 'solve a dense linear system' with production (2,511); (c) 'exact', EXACT fractions.Fraction ARITHMETIC END TO END WITH NO FLOATING POINT ANYWHERE, the first-step systems solved by a hand-written Gauss-Jordan elimination over the rationals with exact pivoting, on the n<=8 part of the collection (2,420); (d) 'highprec', mpmath at 60 DECIMAL DIGITS with mpmath's own LU solve and matrix inverse, on n<=12 (2,459) and again on the 12 largest strongly connected fixtures, n=40 to50 (12 comparisons, largest scaled error 4.163336e-17), which is the CONDITIONING audit the measure needs because it inverts a matrix built from a Perron vector. THE PARTS ARE CHECKED SEPARATELY, NOT ONLY THE SCORE: the stationary vector against the scipy eigendecomposition (2,511), against the MARKOV CHAIN TREE THEOREM as the exact rational cofactor det(L_ii) of I-W (2,420 on n<=8), and against the closed form (d_i+1)/sum_k(d_k+1) on the 890 symmetric fixtures; the full mean first passage matrix M against the first-step route entry by entry on n<=20 (2,477 comparisons); and the recurrence and column-sum columns against their definitions (2,511 each). INVARIANTS at 2,511 each: the first-step identity m_ij-1-sum_{k!=j} w_ik m_kj evaluated inside Python from production's own M, KEMENY'S CONSTANT (sum_j c_j m_ij independent of i), m_ii=1/c_i, the stationary vector summing to one, and every score strictly positive. Wrapper, normalized=True, node-permutation and input-projection (weights*13, loops, mode='in', cutoff=1, invert_weights) checks ran at 2,511 comparisons apiece. FOUR HAND-DERIVED CLOSED FORMS, three of them landing on printed Table1 cells: K_q scores 1/q at every node (10 comparisons, q=3..12); the ring C_q scores 4/(q(q+1)), derived from the lazy-cycle mean first passage d(q-d)*3/2 (10, and C_3=K_3 checked to agree since C_3 is not a distinct case); the star K_{1,m} scores 1/2 at the centre and m/((3m-2)(m+1)) at a leaf, derived by solving the two-state lumped first-step system by hand (8, m=2..9); and THE DIRECTED q-CYCLE scores 1/q, the one closed form exercising the directed path (10, q=3..12). DEGENERATE AND OUT-OF-DOMAIN INPUTS: empty returns no scores silently; a singleton is NA and warns; an edgeless six-node graph, a two-component graph, the Krackhardt kite plus one isolate, and a WEAKLY BUT NOT STRONGLY CONNECTED DIGRAPH are each all-NA, and the two-component and singleton cases are checked to raise the cograph_undefined_measure class. The kite is retained as a named acceptance fixture in kite_worked.csv, every value computed here. 88 public-test expectations passed with ZERO warnings","simple unweighted directed and undirected graphs whose influence chain is irreducible, i.e. connected undirected graphs and strongly connected digraphs; reducible input, isolates, edgeless graphs and singletons are refused as NA rather than extended","THE SELF-LOOP IS LOAD-BEARING AND THE MEASURE IS NOT COGRAPH'S EXISTING markov. Definition, eqs(9) p1485, (11) p1486 and (20) p1489 with the W construction p1494: set a_ii=1 for every i, W=A/rowSums(A), c=the left eigenvector of W at eigenvalue1 normalised to sum1, Z=(I-W+1c')^-1, M=(I-Z+E Zdg)diag(1/c), and c_IEC(j)=(n-1)/sum_{i!=j} m_ij. M is the Kemeny-Snell mean first passage matrix in the convention m_ij=E[steps from i until j is first reached], so eq(20) sums DOWN column j and the score is a reciprocal mean first passage time INTO j. Page1494 states the construction twice, in the body and in the Table1 note: 'the diagonal entries of its adjacency matrix A=[a_ij] were set to one and its influence network was computed as W=[w_ij]=a_ij/sum_j^n a_ij', following French1956. Footnote10 p1484 gives the reason - 'Given w_ii>0 for any i, all strong networks must be regular', regular meaning aperiodic - and footnote9 p1483 the periodic counterexample. THE LEDGER'S LONG-STANDING ASSUMPTION THAT markov IS IEC UP TO AN N VERSUS N-1 NUMERATOR IS WRONG: markov ALSO omits the self-loop, and that difference is not a rescaling. Computed this session, the largest within-graph spread of iec/markov over the 21 connected five-node graphs is 0.096, and the two rank the nodes differently on 2 of those 21; on the Krackhardt kite iec is 0.069051322 0.069051322 0.052899126 0.103448276 0.052899126 0.099984987 0.099984987 0.055384615 0.018730489 0.010291595 against markov's 0.102457598 0.102457598 0.077345179 0.158102767 0.077345179 0.149691514 0.149691514 0.077669903 0.025856496 0.014270425. markov IS DELIBERATELY LEFT UNCHANGED; iec ships as a separate measure. REDUCIBLE INPUT IS REFUSED, NOT EXTENDED, AND THIS DEPARTS FROM THE BATCH47 PRECEDENT ON PURPOSE: for a reducible W the eigenvalue-one eigenspace has one dimension per closed class so c is undetermined and diag(1/c) undefined, and worse, eq(11) DOES NOT ANNOUNCE THE FAILURE - with Z block diagonal a cross-class pair has z_ij=0 and eq(11) returns the entirely finite m_ij=z_jj/c_j where the true mean first passage time is infinite. Batch47 could apply a reachability mask because ITS source states a zero rule for an unreachable pair; this source states none, and a component-wise reading would additionally have to invent whether the n-1 of eq(20) counts the component or the network. cograph therefore tests irreducibility by boolean closure BEFORE any solve and returns NA at every node with a cograph_undefined_measure warning - never a silent zero and never a finite wrong number. n=1 is NA too, eq(20) dividing by n-1=0; an empty graph returns no scores. An isolate never scores on its own because a graph containing one is reducible. DIRECTION IS KEPT because W is a matrix of directed influence, row i being what actor i attends to, and the measure then needs a STRONGLY connected digraph; there is no in/out/all variant so mode, cutoff and invert_weights are ignored. WEIGHTS ARE DROPPED DELIBERATELY: a_ii=1 is calibrated against a_ij=1, so rescaling the weights would silently re-weight each actor's self-reliance against the network, and the source demonstrates only the binary case. Loops in the input are absorbed by the mandated unit diagonal and parallel edges collapse. normalized=True max-scales, the source stating no normalization. Marked COSTLY: one boolean closure and two dense n x n solves. Zoo2.180 (p104) transcribes the source faithfully, renaming c to v; the sibling labels TEC (eq18) and MEC (eqs21-23) of the same paper are NOT covered. No author or third-party code exists"
Improved neighbors’ k-core (INK),0.995,Local H-index,local_hindex,pending review,,,,,,"candidate_review40: INK(i)=sum_{j in N(i)} k_s(j)^alpha, open neighbourhood with the focal node's own core excluded, pinned by the explicit peer-reviewed reproduction Sci Rep7:41321 eq16 and Fig1(a), read and visually inspected. Blocked on one item only: the default or recommended alpha, and any printed per-node example. Lin et al.2014 Phys Lett A378(45):3279-3284 PII S0375960114009839 full text NOT read; ScienceDirect403, no arXiv preprint, OpenAlex/Semantic Scholar/Unpaywall/fatcat all closed, ResearchGate266561482 is Request-PDF only; these observations do not prove no accessible copy exists. If implemented from the reproduction alone, alpha must be documented and alpha1 called Bae-Kim neighborhood coreness, not a Lin value. cograph has no plain A k_s today: extended_coreness is A^2 k_s, a different measure"
Length-scaled betweenness,0.991,Betweenness,betweenness,implemented,length_scaled_betweenness,"centrality(x, measures = ""length_scaled_betweenness"")",https://doi.org/10.1016/j.socnet.2007.11.001,batch11/run_equivalence.R: independent shortest-path counting,simple undirected unweighted graphs,
Exogenous centrality,0.991,Distance-weighted fragmentation,fragmentation,implemented,exogenous,"centrality(x, measures = ""exogenous"")",https://doi.org/10.1016/j.socnet.2010.06.004 eq3/8 and section3.3,"batch20/run_equivalence.R: NetworkX base recomputation, explicit path enumeration, degree/betweenness/adjusted reverse-closeness; published Table5 audit retains four unresolved mismatches","directed and undirected simple binary graphs; all/in/out modes; degree, betweenness and adjusted reverse-closeness bases","default reverse_closeness keeps original N after deletion; base scores unnormalized; negative betweenness retained; costly; agrees with independent definition calculations, not all published Florentine table entries"
Hybrid degree centrality,0.991,Hubbel,hubbell,pending review,,,,,,"candidate_review40: BLOCKED. Ma-Ma2017 Physica A465:312-330 PII S0378437116305581 full text NOT obtained and no peer-reviewed equation-level reproduction found, so the only formula seen is Zoo2.175's own paraphrase, which is not formula evidence. Unresolved: the MLC and HDC defining equations, the sign and domain conditions on beta and p, the definition of n(k), and whether alpha=1000 is a universal default or per-network calibration. Zoo's own (beta-p)*alpha*|N(i)| with its suggested ranges would make degree contributions negative over most of the stated p domain, a sign error no correlation check could detect. Do not implement from the paraphrase"
Support,0.99,MNC,mnc,implemented,support,"centrality(x, measures = ""support"")",https://arxiv.org/pdf/1711.09504,batch12/run_equivalence.R: degrees in NetworkX 3-truss,simple undirected unweighted graphs,
delta-closeness,0.989,Closeness,closeness,implemented,delta_closeness,"centrality(x, measures = ""delta_closeness"")",https://doi.org/10.1016/j.socnet.2016.09.005,batch11/run_equivalence.R: igraph distances plus harmonic/Harary limits,simple undirected unweighted graphs,
Godfather index,0.988,Effective size,effective_size,implemented,godfather,"centrality(x, measures = ""godfather"")",https://arxiv.org/pdf/1711.09504,batch12/run_equivalence.R: enumeration of nonadjacent neighbour pairs in Python,simple undirected unweighted graphs,
Relative entropy,0.988,Bridging centrality,bridging,implemented,relative_entropy,"centrality(x, measures = ""relative_entropy"")","Chen-Wang-Luo2016 DOI10.21629/JSEE.2016.06.10 JSEE27(6):1219-1226 eq3,4,6,8,9,10,11 and Tables1-3; primary publisher PDF pages4-5 (journal pp1222-1223) visually read, PDF SHA256 db3c3e8d8f5a115290f010e1b3b7a4ace809894096ca610a6a563c5a6880a414","batch41/run_equivalence.R: independent NetworkX BFS-layer shortest-path counts with the sigma_ji*sigma_ik pair identity, exact Fraction nested-sum constraint, node-deletion connected_components, and equations8/9/11 in exact Fractions with two mpmath dps60 roots; brute-force path enumeration through5 vertices; eight index-set and direction configurations plus undefined-case classification; published_audit.R reproduces all60 printed Table1/Table3 index entries exactly and all30 printed Table2 entries to the printed 6 decimals from the paper's own rounded inputs","simple undirected unweighted graphs; the paper's four-index, two-index and six-index configurations and further index subsets and direction overrides; connected graphs strictly, disconnected graphs and isolates under a stated closeness extension","Closed form eq11 is the normalised geometric mean of the eq8/eq9 index distributions, so the eq10 log base cancels and output is unit-sum; normalized=True additionally max-scales and then no longer sums to1. Default re_indexes is the paper's four distinctiveness indexes; re_indexes also accepts n_components and largest_component, and re_negative overrides the paper's directions. Only the six indexes the paper both defines and declares a direction for are offered: eq2 clustering and eq5 eigenvector have no declared direction and eq7 average path length is infinite on a disconnected residual. eq6 constraint sums over all j!=i, not over neighbours as Burt/igraph do (Kite node1 gives1.25 not1); the printed limit j=1..|V| would include j=i and give1.5, so j=i is excluded as the only reading reproducing Table1. eq4 betweenness uses ordered pairs, twice the usual value, which eq8 cancels. eq3 closeness sums distances over all of V and is identically zero on a disconnected graph; cograph sums reachable partners instead, an explicit extension outside the paper's connected domain, and gives isolates closeness0 and constraint0. An exact index zero annihilates the node exactly, as the paper's own Table2 prints. An index that is zero at every node (betweenness on a complete graph, degree on an edgeless one) or eq9's |V|-1 denominator on a singleton raises cograph_undefined_index; nothing is returned as zero. A measure named in measures/include raises; when a tier supplied it, batch41 also added .cg_tier_guard, so the condition becomes a cograph_undefined_measure warning and an NA column, which is what centrality(type=""all"") now does on a complete graph. Simple undirected unweighted skeleton; loops/parallels removed; weights/mode/inversion/cutoff ignored; empty graphs return no scores. Table2 from the exact graph differs from the printed values by up to 3.6e-5 because the paper integrated its own rounded Table1/Table3 columns; recomputing from those rounded columns reproduces all30 printed values. ARPA Table4/Table5 not used: its closeness column is inconsistent with eq3 and Figure2 was not transcribed. No author-software parity claim; the paper offers no code"
Egocentric betweenness,0.987,Effective size,effective_size,implemented,ego_betweenness,"centrality(x, measures = ""ego_betweenness"")",https://doi.org/10.1016/j.socnet.2004.11.007,batch11/run_equivalence.R: Everett-Borgatti matrix shortcut,simple undirected unweighted graphs,
